"http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&ranges%3D2011_2017_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28%28%28%28%28%28%28%28%28Graphical+interface%29+OR+graphical+user+interface%29+OR+User-Computer%29+OR+User-Computer+Interfaces%29+OR+User+Computer+Interface%29+OR+Interface%29+OR+business+process%29+OR+BPM%29+OR+BPMS%29+OR+GUI%29",2016/09/30 15:38:18
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"A study of student perceptions on blended and online learning over traditional classroom instruction at South East European University","M. Apostolova Trpkovska","Department of CST, SEE University, Ilindenska bb, 1200 Tetovo, Macedonia","Information Technology Interfaces (ITI), Proceedings of the ITI 2011 33rd International Conference on","","2011","","","245","250","In the past decade a growing number of international higher education institutions are exploring different alternatives to traditional classroom teaching methodologies such as online and blended methodology. A variety of research results presented in this study are aiming to discover the overall effectiveness of online and blended approach over traditional learning model as well as their levels of acceptance in certain programs at South East European University (SEEU).","1330-1012;13301012","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5974030","Online learning;blended learning model;classroom instruction;educational deliverance","Best practices;Data models;Delay;Education;Europe;Interviews;Materials","computer aided instruction;further education;interactive programming;student experiments","South East European University;international higher education institutions;online learning;student perceptions;traditional classroom instruction","","1","","9","","","27-30 June 2011","","IEEE","IEEE Conference Publications"
"Semisupervised Hyperspectral Band Selection Via Spectral–Spatial Hypergraph Model","X. Bai; Z. Guo; Y. Wang; Z. Zhang; J. Zhou","School of Computer Science and Engineering, Beihang University, Beijing, China","IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing","","2015","8","6","2774","2783","Band selection is an essential step toward effective and efficient hyperspectral image classification. Traditional supervised band selection methods are often hindered by the problem of lacking enough training samples. To address this problem, we propose a semisupervised band selection method that allows contribution from both labeled and unlabeled hyperspectral pixels. This method first builds a hypergraph model from all hyperspectral samples to measure the similarity among pixels. We show that hypergraph can capture relationship among pixels in both spectral and spatial domain. In the second step, a semisupervised learning method is introduced to propagate class labels to unlabeled samples. Then a linear regression model with group sparsity constraint is used for band selection. Finally, hyperspectral pixels with selected bands are used to train a support vector machine (SVM) classifier. The proposed method is tested on three benchmark datasets. Experimental results demonstrate its advantages over several other band selection methods.","1939-1404;19391404","","10.1109/JSTARS.2015.2443047","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7152840","Band selection;hypergraph;hyperspectral imaging;image classification","Hyperspectral imaging;Image edge detection;Matrix converters;Sparse matrices;Support vector machines","geophysical image processing;graph theory;image classification;regression analysis;support vector machines","SVM;group sparsity constraint;hypergraph model;hyperspectral image classification;hyperspectral pixels;linear regression model;semisupervised hyperspectral band selection;spectral-spatial hypergraph model;supervised band selection methods;support vector machine classifier;training samples","","2","","33","","20150708","June 2015","","IEEE","IEEE Journals & Magazines"
"Neural drive estimation using the hypothesis of muscle synergies and the state-constrained Kalman filter","G. Rasool; K. Iqbal; N. Bouaynaya; G. White","Syst. Eng. Dept., Univ. of Arkansas at Little Rock, Little Rock, AR, USA","Neural Engineering (NER), 2013 6th International IEEE/EMBS Conference on","","2013","","","802","805","We explore the hypothesis of muscle synergies to estimate the neural drive (movement intent) for upper extremity myoelectric prosthesis using the surface myoelectric signals. Commonly employed pattern classification systems have certain limitations, like inherent discrete nature, finite movement classes and limited degrees-of-freedom. We propose a novel framework based on the state space modeling and the hypothesis of muscle synergies. The problem is formulated in the state space framework in a novel way, where the movement intent is modeled as the hidden state of the system. A continuous stream of the movement intent (the hidden state) is estimated using the state-constrained Kalman filter. Preliminary experimental results also confirm the applicability of the proposed framework for estimation of movement intent.","1948-3546;19483546","","10.1109/NER.2013.6696056","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6696056","","Data mining;Estimation;Kalman filters;Muscles;Noise;Rocks;Vectors","Kalman filters;electromyography;feature extraction;medical signal processing;neurophysiology;physiological models;prosthetics;signal classification;state-space methods","degrees-of-freedom limitation;finite movement class;movement intent estimation;movement intent modeling;muscle synergy hypothesis;neural drive estimation;pattern classification system;state space modeling;state-constrained Kalman filter;surface myoelectric signal;system hidden state;upper extremity myoelectric prosthesis","","2","","10","","","6-8 Nov. 2013","","IEEE","IEEE Conference Publications"
"Subpermutation-Based Evolutionary Multiobjective Algorithm for Load Restoration in Power Distribution Networks","E. G. Carrano; G. P. da Silva; E. P. Cardoso; R. H. C. Takahashi","Department of Electrical Engineering and the Graduate Program in Electrical Engineering, Universidade Federal de Minas Gerais, Belo Horizonte, Brazil","IEEE Transactions on Evolutionary Computation","","2016","20","4","546","562","This paper proposes a new multiobjective evolutionary algorithm for handling the problem of distribution network restoration after failures. The problem is formulated as a bi-objective optimization problem considering the total load restored and the time required for restoration. A new encoding scheme is proposed, in which the variables that encode the switch operation are separated into six groups, according to their roles in the faulty system configuration. Employing the idea of defining subspaces of a combinatorial space, those groups are used in order to define subpermutations within which the crossover and mutation operations are performed. In this way, the dimensionality of the search space becomes reduced, allowing a much more efficient search. The proposed encoding scheme also makes a single individual to encode several different solutions, leading to a further reduction of the search space dimensionality. Due to this peculiar feature of the encoding scheme, it becomes convenient to use an adaptation of the Strength Pareto Evolutionary Algorithm 2, in which the raw fitness is modified in order to allow the assignment of fitness to individuals that simultaneously encode several different solutions. The proposed algorithm was implemented such that good solutions are delivered within low processing times, of the order of some minutes for large real systems.","1089-778X;1089778X","","10.1109/TEVC.2015.2497361","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7317537","Electricity distribution networks;genetic algorithms;load restoration;multiobjective optimization","Decoding;Encoding;Linear programming;Optimization;Power distribution;Switches;Yttrium","Pareto optimisation;combinatorial mathematics;distribution networks;evolutionary computation;power system restoration","biobjective optimization problem;combinatorial space;distribution network restoration;encoding scheme;faulty system configuration;load restoration;power distribution networks;search space dimensionality;strength Pareto evolutionary algorithm;subpermutation-based evolutionary multiobjective algorithm","","","","","","20151103","Aug. 2016","","IEEE","IEEE Journals & Magazines"
"Managing gate and ramp operations to reduce delay, fuel burn, and costs","M. Carpenter; S. Stroiney","Saab Sensis Corp., Syracuse, NY, USA","Integrated Communications, Navigation and Surveillance Conference (ICNS), 2012","","2012","","","H3-1","H3-22","At larger U.S. airports, aircraft traffic congestion in and around ramp-area alleyways can lead to inefficiencies in the movement of aircraft to and from the movement area. This inefficiency is reflected both in reduced on-time performance and in unnecessary taxi delay that leads to higher airline operating costs and increased environmental impacts resulting from fuel-burn emissions. For example, poor ramp traffic coordination can lead to an aircraft blocking an arrival's access to an assigned gate or a critical alleyway, requiring the arrival either to wait for the blockage to clear or to be directed to another gate.","2155-4943;21554943","","10.1109/ICNSurv.2012.6218407","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6218407","","Air traffic control;Aircraft;Airports;Atmospheric modeling;Delay;Logic gates;Surveillance","air traffic control;airports;cost reduction;environmental factors","U.S. airports;aircraft blocking;aircraft movement;aircraft traffic congestion;around ramp-area alleyways;cost reduction;delay reduction;environmental impacts;fuel-burn emission;gate operations;poor ramp traffic coordination;ramp operations","","0","","22","","","24-26 April 2012","","IEEE","IEEE Conference Publications"
"Near-optimal configuration of service pool size in service composition","Pan He; K. Wu; Qi Xie; J. Xu","College of Computer Science, Chongqing University, China","Communications and Networking in China (CHINACOM), 2011 6th International ICST Conference on","","2011","","","1252","1257","To improve the reliability of service composition, service pools with redundant services are often registered in advance. Increasing the number of redundant services in a pool could improve the reliability while decreasing the performance or increasing unnecessary cost. Aiming at minimizing the overall cost or response time under certain reliability constraint, this paper proposed a service pool size choosing method from the point of view of service composition. It started with the reliability and performance evaluation of single service pool with multiple services and then employed architecture-based model to obtain the overall reliability/performance model for service composition with multiple service pools. These models were used as the utility function and constraint function to optimize service pool size combination. Two sensitivity-based algorithms were proposed to solve the optimization problem, which assigned more redundant services to those service pools that have higher impact on reliability change and lower impact on performance change. Empirical studies results showed that these algorithms could find the near-optimal size combination of service pools using much less time than the exhaustive iteration method.","","","10.1109/ChinaCom.2011.6158350","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6158350","Markov chain;reliability model;service composition;service pool;web service","Arrays;Complexity theory;Fault tolerance;Fault tolerant systems;Reliability engineering;Time factors","Web services;software reliability","architecture-based model;constraint function;exhaustive iteration method;near-optimal configuration;overall cost minimization;redundant services;response time minimization;sensitivity-based algorithms;service composition reliability;service pool performance evaluation;service pool size;service pool size choosing method;service pool size combination optimization;utility function","","0","","11","","","17-19 Aug. 2011","","IEEE","IEEE Conference Publications"
"Development of regulatory aspects for promoting Smart Grid with renewable energy resources: The Egyptian case","W. El-Khattam; M. Mostafa; H. Wahid","Electrical Power and Machines Department, Faculty of Engineering, Ain Shams University, Cairo, Egypt","Innovative Smart Grid Technologies - Middle East (ISGT Middle East), 2011 IEEE PES Conference on","","2011","","","1","7","Smart Grid (SG) concepts can achieve the required level of electricity supply security and other added benefits, while investing less in traditional electricity infrastructure. One main advantage of SG is promoting Renewable Energy Resources (RES) implementation by smoothly integrating them into the countries' main grids. The paper proposes steps to mitigate the major SG and RE infrastructure investment challenges through developing their associated regulatory aspects. These steps facilitate the transformation from traditional grids to SGs by integrating a large amount of RE into the grid. Lessons learned from the international experience in this respect are addressed. The accomplished and the proposed regulatory steps to be considered to integrate RE projects into any electricity grid in general and for the Egyptian grid in particular (as an example of developing countries) are explored and evaluated. Finally, further steps are concluded and recommended to governmental and regulatory agency to establish workable regulatory aspects for SG concepts implementation.","","","10.1109/ISGT-MidEast.2011.6220808","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6220808","Regulations;Renewable Energy;Smart Grid","Companies;Electricity;Electricity supply industry;Investments;Planning;Renewable energy resources;Smart grids","government policies;investment;power generation economics;renewable energy sources;smart power grids","regulatory aspects;renewable energy infrastructure investment;renewable energy resources implementation;smart grid promotion","","0","","10","","","17-20 Dec. 2011","","IEEE","IEEE Conference Publications"
"Privacy-preserving deep packet inspection in outsourced middleboxes","X. Yuan; X. Wang; J. Lin; C. Wang","City University of Hong Kong, Hong Kong, China","IEEE INFOCOM 2016 - The 35th Annual IEEE International Conference on Computer Communications","","2016","","","1","9","Middleboxes are essential for a wide range of advanced traffic processing in modern enterprise networks. Recent trend of deploying middleboxes in cloud as virtualized services further expands potential benefits of middleboxes while avoiding local maintenance burdens. Despite promising, designing outsourced middleboxes still faces several security challenges. First, many middlebox processing services, like intrusion detection, require packet payload inspection, while the ever-increasing adoption of HTTPS limits the function due to the end-to-end encryption. Second, many packet inspection rules used by middleboxes can be proprietary in nature. They may contain sensitive information of enterprises, and thus need strong protection when configuring middleboxes in untrusted outsourced environments. In this paper, we propose a practical system architecture for outsourced middleboxes to perform deep packet inspection over encrypted traffic, without revealing either packet payloads or inspection rules. Our first design is an encrypted high-performance rule filter that takes randomized tokens from packet payloads for encrypted inspection. We then elaborate through carefully tailored techniques how to comprehensively support open-source real rulesets. We formally analyze the security strength. Implementations at Amazon Cloud show that our system introduces roughly 100 millisecond latency in each connection initialization, with individual processing throughput over 3500 packets/second for 500 concurrent connections.","","Electronic:978-1-4673-9953-1; POD:978-1-4673-9954-8","10.1109/INFOCOM.2016.7524526","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7524526","","Cloud computing;Cryptography;Inspection;Middleboxes;Payloads;Systems architecture","business communication;cloud computing;computer network security;cryptography;data privacy","advanced traffic processing;cloud computing;encrypted traffic;enterprise networkS;intrusion detection;middlebox processing service;outsourced middleboxes;packet payload inspection;privacy preserving deep packet inspection;virtualized services","","","","","","","10-14 April 2016","","IEEE","IEEE Conference Publications"
"[Back cover]","","","2012 IEEE First International Conference on Services Economics","","2012","","","C4","C4","The following topics are dealt with: services economics; personalization; and business and data analysis.","2379-7703;23797703","","10.1109/SE.2012.19","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6260997","","","business data processing;data analysis;economics","business analysis;data analysis;personalization;services economics","","0","","","","","24-29 June 2012","","IEEE","IEEE Conference Publications"
"SmartDomoGrid: Reference architecture and use case analyses for a grid-customer interaction","G. Accetta; D. Della Giustina; S. Zanini; G. D'Antona; R. Faranda","A2A Reti Elettriche SpA, Brescia, Italy","IEEE PES ISGT Europe 2013","","2013","","","1","4","The evolution of the electrical energy system toward a smart model has already started. Smart metering, electric vehicles, renewable resources, transmission and distribution advanced grid automation are some example of this ongoing change. A further step in this process is the interaction between final customers - often residential - and the distribution grid. Those customers shall provide new services to the distribution utility which can help them to better and more safely manage the grid. The SmartDomoGrid project - cofounded by the Italian Ministry of Economic Development - is aimed at designing, implementing and testing a possible scheme for the grid-customer interaction in a real operation environment. The paper is focused on the architecture and several use cases proposed and analyzed within the project.","2165-4816;21654816","","10.1109/ISGTEurope.2013.6695443","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6695443","Distributed energy resources;Load management;Power distribution;Reactive power;Smart grids","Economics;Home appliances;Load management;Power quality;Smart grids;Substations;Unified modeling language","power distribution;power system management;smart meters;smart power grids","Italian Ministry of Economic Development;SmartDomoGrid project;distribution advanced grid automation;distribution grid;distribution utility;electric vehicles;electrical energy system evolution;grid management;grid-customer interaction;reference architecture;renewable resources;residential grid;smart metering;smart model;transmission advanced grid automation","","6","","10","","","6-9 Oct. 2013","","IEEE","IEEE Conference Publications"
"Metrics Based Software Supplier Selection - Best Practice Used in the Largest Dutch Telecom Company","H. Kuijpers; H. van Heeringen","Program Assurance Metrics Desk, KPN, The Hague, Netherlands","Software Measurement and the 2012 Seventh International Conference on Software Process and Product Measurement (IWSM-MENSURA), 2012 Joint Conference of the 22nd International Workshop on","","2012","","","89","98","This article provides insight into a 'best practice' used for the selection of software suppliers at the largest Dutch telecom operator, KPN[1]. It explains the metrics rationale applied by KPN when selecting only one preferred supplier (system integrator) per domain instead of the various suppliers that were previously active in each domain. Presently (Q2 2012) the selection and contracting process is entering its final phase. In this paper, the model that was built and used to assess the productivity of the various suppliers and the results of the supplier selection process are discussed. In addition, a number of lessons learned and recommendations are shared.","","","10.1109/IWSM-MENSURA.2012.21","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6472571","Measurement;Metrics;Outsourcing;Productivity;Quality;Request for Proposal;Supplier Performance Measurement;Supplier Selection","Benchmark testing;Finance;Measurement;Productivity;Proposals;Software","DP industry;contracts;software metrics;telecommunication industry","KPN;best practice;contracting process;largest Dutch telecom company;metrics-based software supplier selection;supplier productivity","","0","","9","","","17-19 Oct. 2012","","IEEE","IEEE Conference Publications"
"Development and implement of the IP camera based on DM6437","B. Li; W. Zhang; Z. Liu; M. Kang; S. Li","Inf. Eng. Sch., Commun. Univ. of China, Beijing, China","Mechatronic Science, Electric Engineering and Computer (MEC), 2011 International Conference on","","2011","","","1961","1964","An IP camera based on Tl's DaVinci DSP-TMS320DM6437 is developed in this paper. An intelligent video surveillance system is established using the designed IP camera. The real-time capture of the video is implemented in the system as well as the compression coding of the video using H.264 and the transmission of the encoded video through network. In the section of network communication, the performance of DSP processor in three scenes is tested, which is convenient for developers to optimize.","","","10.1109/MEC.2011.6025872","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6025872","Codec Engine;DSP/BIOS;NDK;TMS320DM6437","Cameras;Digital signal processing;Encoding;Instruments;Real time systems;Streaming media;Video surveillance","cameras;video surveillance","DSP-TMS320DM6437;IP camera;compression coding;intelligent video surveillance system","","1","","9","","","19-22 Aug. 2011","","IEEE","IEEE Conference Publications"
"Prediction of vacuum cleaner motor brush life: a regression approach","B. Benedik; K. Ta&#x161;kova; J. Tav&#x10d;ar; J. Duhovnik","EMs & Home Appliances, Z&#x030C;elezniki, Slovenia","IET Electric Power Applications","","2015","9","9","569","577","The main focus of this paper is the empirical modelling of the wear of carbon brushes. Rather than determining the dominant wear mechanisms, an approach towards the prediction of wear under a range of different conditions was used. The models were obtained by multiple regression analysis using lifetime (LT) data contributed by the biggest European manufacturer of vacuum cleaner motors. This included reliability data for 607 different test populations involving 3980 motors. Exploration of the data revealed that wear-out parameters behaved in accordance with the existing field theory, giving additional confidence to the models. The numerical appreciation of the wear-out parameters and the resulting conclusions will be beneficial to motor design and reliability engineers. Learned knowledge will be used for faster selection of optimal design and operational motor parameters to meet recent EU regulation 666/2013. Along with the more rapid design of the product, a reduced number of LT tests will result in significant energy savings.","1751-8660;17518660","","10.1049/iet-epa.2014.0437","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7328483","","","brushes;domestic appliances;electric motors;reliability;wear","carbon brush wear modelling;dominant wear mechanism;energy saving;field theory;motor design reliability;multiple regression analysis;vacuum cleaner motor brush life prediction","","","","","","","11 2015","","IET","IET Journals & Magazines"
"A generalized design method for directivity patterns of spherical microphone arrays","E. De Sena; H. Hac&#x0131;habibo&#x011F;lu; Z. Cvetkovi&#x0107;","CTR, King's College London, WC2R 2LS, UK","2011 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","","2011","","","125","128","Spherical microphone arrays provide a flexible solution to obtaining higher-order directivity patterns, which are useful in audio recording and reproduction. A general systematic approach to the design of directivity patterns for spherical microphone arrays is introduced in this paper. The directivity patterns are obtained by optimizing a cost function which is a convex combination of a front-back energy ratio and a smoothness term. Most of the standard directivity patterns i.e. omnidirectional, cardioid, subcardioid, hypercardioid and supercardioid are particular solutions of this optimization problem with specific values of two free parameters: the angle of the frontal sector, and the convex combination factor. By varying these two parameters, more general solutions of practical use are obtained.","1520-6149;15206149","","10.1109/ICASSP.2011.5946344","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5946344","Microphones;beamforming;directivity pattern;spherical microphone array","Array signal processing;Cost function;Harmonic analysis;Microphone arrays;Noise","microphone arrays;optimisation","audio recording;audio reproduction;directivity patterns;generalized design method;optimization problem;spherical microphone arrays","","1","","8","","","22-27 May 2011","","IEEE","IEEE Conference Publications"
"Developing multi-agent system robotics","F. Moutaouakkil; M. Radoui; H. Medromi","Syst. Archit. Team, Hassan II Univ., Casablanca, Morocco","Communications, Computing and Control Applications (CCCA), 2011 International Conference on","","2011","","","1","5","In this paper we want to create a multi-agent robotics system consisting of a number of identical robots, each controlled by identical agent-based software. We therefore have to design and build a number of robots advanced enough to be able to navigate around, communicate with other robots, pick-up objects, and return them back home. Another important demand is that the robot can actually be designed and build in a somewhat simple manner, as we do not want to spend all the time at hand dealing with hardware. The software controlling the robots must be agent-based, and must be able to either run on the robots, or at least illustrate the possibility of the software actually running on the robots. Further, we need to design a world/environment for the robots to be situated in. This world need to be complex enough to illustrate the problem, but simple enough for us to implement the wanted system within the given period of time.","","","10.1109/CCCA.2011.6031428","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6031428","Artificial Intelligence;Control;Mobile system;Multi-Agent Systems","Floors;Multiagent systems;Navigation;Robot kinematics;Silver;Software","control engineering computing;mobile robots;multi-agent systems;software agents","identical agent-based software;identical robots;multiagent system robotics;robot controlling software","","0","","7","","","3-5 March 2011","","IEEE","IEEE Conference Publications"
"High temperature SiC-sensors","G. Pristavu; F. Draghici; M. Badila; G. Brezeanu; R. Pascu; F. Craciunoiu","Devices, Circuits and Electronic Architectures University &#x201C;Politehnica&#x201D; of Bucharest, Romania, Bucharest, Romania","Design and Technology in Electronic Packaging (SIITME), 2014 IEEE 20th International Symposium for","","2014","","","329","332","The technological flow similarities between two devices on silicon carbide, a Schottky diode and a MOS capacitor, are presented. The devices are used as temperature and hydrogen sensors, respectively. Both devices are characterized up to high temperatures, 400°C for Schottky diode and 300°C for MOS capacitor. Performed measurements demonstrate good forward voltage linearity with temperature (Schottky diode) and the absence of mobile oxide charges (MOS capacitor).","","","10.1109/SIITME.2014.6967024","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6967024","MOS capacitor;Schottky barrier diode;Silicon carbide;high temperature devices;sensors","MOS capacitors;Schottky diodes;Silicon carbide;Temperature;Temperature measurement;Temperature sensors","MOS capacitors;Schottky diodes;gas sensors;silicon compounds;temperature sensors;wide band gap semiconductors","MOS capacitor;Schottky diode;SiC;high temperature silicon carbide sensors;hydrogen sensor;temperature 300 degC;temperature 400 degC;temperature sensor","","1","","6","","","23-26 Oct. 2014","","IEEE","IEEE Conference Publications"
"Implantable Flexible Pressure Measurement System Based on Inductive Coupling","C. C. Oliveira; A. T. Sep&#x00FA;lveda; N. Almeida; B. L. Wardle; J. M. da Silva; L. A. Rocha","INESC TEC, Faculdade de Engenharia da Universidade do Porto, 4200-465 Porto, Portugal","IEEE Transactions on Biomedical Engineering","","2015","62","2","680","687","One of the currently available treatments for aortic aneurysms is endovascular aneurysm repair (EVAR). In spite of major advances in the operating techniques, complications still occur and lifelong surveillance is recommended. In order to reduce and even eliminate the commonly used surveillance imaging exams, as well as to reduce follow-up costs, new technological solutions are being pursued. In this paper, we describe the development, including design and performance characterization, of a flexible remote pressure measurement system based on inductive-coupling for post-EVAR monitoring purposes. The telemetry system architecture and operation are described and main performance characteristics discussed. The implantable sensor details are provided and its model is presented. Simulations with the reading circuit and the sensor's model were performed and compared with measurements carried out with air and a phantom as media, in order to characterize the telemetry system and validate the models. The transfer characteristic curve (pressure versus frequency) of the monitoring system was obtained with measurements performed with the sensor inside a controlled pressure vacuum chamber. Additional experimental results which proof the system functionality were obtained within a hydraulic test bench that emulates the aorta. Several innovative aspects, when compared to the state of the art, both in the sensor and in the telemetry system were achieved.","0018-9294;00189294","","10.1109/TBME.2014.2363935","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6933941","Carbon nanotubes;carbon nanotubes;inductive–coupling;inductive-coupling;pressure sensors;remote monitoring;stent– graft;stent-graft","Aneurysm;Antennas;Capacitance;Frequency measurement;Inductors;Integrated circuit modeling;Oscillators","biomedical telemetry;patient monitoring;pressure measurement;pressure sensors;stents","aorta;endovascular aneurysm repair;hydraulic test bench;implantable flexible pressure measurement system;implantable sensor;inductive coupling;phantom;post-EVAR monitoring;pressure vacuum chamber;reading circuit;telemetry system architecture;transfer characteristic curve","","4","","25","","20141022","Feb. 2015","","IEEE","IEEE Journals & Magazines"
"Transforming massive data to pragmatic target marketing practice","M. He; J. Li; B. Shao; T. Qin; C. Ren","IBM Research - China","Service Operations and Logistics, and Informatics (SOLI), 2013 IEEE International Conference on","","2013","","","408","412","Marketing is all about the process of communicating the value of a product or service to customers in order to stimulate sales, while target marketing maximizes the return on investment into the marketing activities. We present a piece of practice to transform massive data into actionable insights and guidance using statistical analysis and data mining methods, which helps a leading home appliance manufacturer optimize its marketing strategy for increasing customer intimacy, solidifying customer loyalty, and most importantly, boosting the sales volume and profit.","","","10.1109/SOLI.2013.6611449","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6611449","marketing policy optimization;massive data;statistical analysis","Analysis of variance;Association rules;Feature extraction;Geography;Home appliances;Image color analysis","computational linguistics;cost-benefit analysis;customer services;data mining;domestic appliances;marketing data processing;statistical analysis;strategic planning","customer intimacy;customer loyalty solidification;customer service;data mining methods;home appliance manufacturer;marketing activities;marketing strategy;massive data transformation;pragmatic target marketing practice;product value;return on investment;statistical analysis","","0","","19","","","28-30 July 2013","","IEEE","IEEE Conference Publications"
"Considerations on Web Document Designs","K. Matsumoto; K. Takahashi; T. Tanaka","Grad. Sch. of Eng., Kanagawa Inst. of Technol., Atsugi, Japan","2016 5th IIAI International Congress on Advanced Applied Informatics (IIAI-AAI)","","2016","","","920","923","This paper discusses the basic design properties of the use of colors in Web documents, and also discusses the properties of combinations of colors in a Web document. The results can be a theoretical basis for a findable, readable and understandable design of documents. We usually use several different colors in documents with some intentions, but the quantitative effectiveness of using these colors is not clear. In this paper we investigate the effectiveness from several viewpoints. Further, most of Web documents include images texts and other objects that often work complementary. These types of objects usually painted with colors under a designer's intention. Since a document is a composite object, combinations of colors rather than a single color have more meaning. This paper investigates the effects of color combinations through several experiments.","","Electronic:978-1-4673-8985-3; POD:978-1-4673-8986-0","10.1109/IIAI-AAI.2016.243","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7557744","color design;effectiveness of colors;search speed;web page design","Color;Image color analysis;Presses;Search problems;Time factors;Time measurement;Visualization","Web design;document handling","Web document designs;color combination usage;quantitative effectiveness;text imaging","","","","","","","10-14 July 2016","","IEEE","IEEE Conference Publications"
"Finite element analysis of trabecular bone with bone marrow fat","J. Zhu; H. T. Ma; X. Zhao; R. Ren; X. Xing; J. F. Griffth; P. C. Leung","Shenzhen Grad. Sch., Dept. of Electron. & Inf. Eng., Harbin Inst. of Technol., Shenzhen, China","TENCON 2013 - 2013 IEEE Region 10 Conference (31194)","","2013","","","1","4","Bone marrow was assumed with little effect on the bone mechanical property. As a result, there is no simulation model of bone strength considering bone marrow. While, it has been reported that fat marrow content increased in osteoporotic bone. Whether the fat marrow influences the bone mechanical property is unknown yet. Therefore, the objective of this study was to figure out the contribution of bone marrow fat in bone strength. A finite element model was established by using quantitative computed tomographic (QCT) data from a 63-year-old female's L3 vertebrae. With mechanical load applied on the finite element model, a significant higher maximum stress was observed in the model without bone marrow, compared to the one with fat marrow. The results indicated that bone marrow fat diminish the maximum stress on the trabecular bone and may function as a force buffer in a bone.","2159-3442;21593442","","10.1109/TENCON.2013.6718957","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6718957","bone marrow fat;bone strength;bone stress;finite element analysis","Bones;Computational modeling;Finite element analysis;Load modeling;Solid modeling;Stress","biomechanics;bone;computerised tomography;finite element analysis;medical image processing","L3 vertebrae;QCT;age 63 yr;bone marrow fat;bone mechanical property;bone strength;computed tomographic data;fat marrow content;finite element analysis;mechanical load;osteoporotic bone;trabecular bone","","0","","14","","","22-25 Oct. 2013","","IEEE","IEEE Conference Publications"
"Modelling and forecasting electricity load using lasso methods","F. Ziel","Europa-Universitat Viadrina, Frankfurt (Oder) Germany","2015 Modern Electric Power Systems (MEPS)","","2015","","","1","6","We present a multivariate time series model to hourly German electricity load. We incorporate the influence of neighbouring countries, temperature, public holidays and the clock change in our non-linear conditionally heteroscedastic model. The considered model can be regarded as a time-varying threshold ARMA-GARCH process. A fast iterative lasso based algorithm is used for the parameter estimation.","","","10.1109/MEPS.2015.7477217","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7477217","","Clocks;Computational modeling;Data models;Estimation;Indexes;Load modeling;Time series analysis","autoregressive moving average processes;load forecasting;time series","electricity load forecasting;electricity load modelling;fast iterative lasso based algorithm;hourly German electricity load;multivariate time series model;nonlinear conditionally heteroscedastic model;parameter estimation;time-varying threshold ARMA-GARCH process","","","","15","","","6-9 July 2015","","IEEE","IEEE Conference Publications"
